Age,Previous_Visits,Total_Spend_2024,Feedback_Score,Gold_Zone_Visits,Email_Engagement_Score,Distance_From_Park_Miles,Home_State,Preferred_Attraction,Referral_Source,Dining_Plan,Renewed_Pass
59.0,3.0,394.78,4.606231558859969,4.0,44.2,1.9,VT,Thrill,Social Media,Upgraded,0
27.84631796413147,1.0648429479778336,172.5413338970108,2.102264042194656,2.000819338043344,37.10384014548848,21.709631352830325,NH,Other,Ad/Other,None,1
18.0,5.9261441806465,151.7312736860424,3.365073973303395,1.0190837338832863,61.82772152840904,21.8924107324782,VT,Entertainment,Social Media,Upgraded,1
25.0,12.0,251.3,3.458662795190829,1.0,41.8,6.6,NY,Other,Friend,Upgraded,0
66.20617819466158,4.038140899599789,197.68669524059823,2.985863721296977,3.955755462151407,61.17433205983745,29.98195942261028,NJ,Entertainment,Ad/Other,Upgraded,1
29.0,2.0,271.05,4.7553497802884745,3.0,44.9,21.1,NY,Thrill,Ad/Other,None,1
32.0,5.0,159.12,2.9848291009079824,3.0,27.1,38.6,MA,Thrill,Friend,Upgraded,1
30.0,7.0,268.43,3.885970092568876,1.0,33.8,11.3,NJ,Other,Ad/Other,Upgraded,0
21.0,8.0,247.08,4.185290084710968,2.0,62.9,45.3,VT,Thrill,Ad/Other,Upgraded,1
71.05752994464285,5.132362398338082,143.72069897589057,3.308618550745481,3.029863430653009,38.767481906969046,17.52327799449651,NY,Entertainment,Friend,Upgraded,0
61.0,3.0,187.55,3.30669577355203,3.0,38.6,4.7,NH,Other,Ad/Other,Upgraded,1
46.0,3.0,232.39,2.3359493675941745,3.0,69.8,65.4,NH,Entertainment,Social Media,Upgraded,0
51.0,5.0,195.26,3.315448557814055,2.0,55.8,9.8,NJ,Other,Social Media,None,1
41.05281858105649,0.0,188.10219113123705,2.0654931894670767,1.9756999788072689,49.181419013993846,58.897714930183135,ME,Other,Ad/Other,Upgraded,1
33.0,5.0,460.53,3.732094637928537,4.0,27.4,27.0,VT,Thrill,Friend,None,0
36.0,11.0,154.88,3.184733666083744,3.0,55.6,36.3,NJ,Thrill,Ad/Other,Upgraded,0
24.0,5.0,156.0,3.8653942419251406,2.0,67.3,15.0,NH,Other,Ad/Other,Upgraded,0
44.0,4.0,364.01,4.846571662610296,1.0,30.1,40.5,NJ,Thrill,Ad/Other,Upgraded,0
70.89241512323451,5.064469956029124,144.4990172987257,3.330585888539332,3.01532172108748,39.13103964388233,18.054245389845526,NY,Entertainment,Friend,Upgraded,0
32.0,9.0,320.7,3.10638841796699,2.0,35.4,30.5,NH,Other,Ad/Other,Upgraded,1
47.0,2.0,247.88,4.309112790731379,0.0,53.1,27.5,VT,Other,Friend,Upgraded,0
21.356235936719774,2.993096413221765,75.46988384419646,3.6295564159734486,4.9685049366796905,62.47529508478229,20.131401419580413,VT,Thrill,Social Media,Upgraded,1
70.0,3.0,228.28,3.353146478744699,1.0,64.4,7.2,VT,Thrill,Ad/Other,Upgraded,0
25.0,3.0,162.88,4.6912606816318325,0.0,10.6,73.7,NY,Thrill,Ad/Other,Upgraded,0
37.0,5.0,297.9,3.19093376326174,0.0,38.2,17.3,NH,Entertainment,Ad/Other,Upgraded,1
